
="",="(1)",="(2)",="(3)"
="",="rank",="rank",="rank"

="points",="-0.162***",="-0.160***",="-0.178***"
="",="(-188.51)",="(-185.89)",="(-223.05)"

="1.home_state_factor",="",="0",="0"
="",="",="(.)",="(.)"

="2.home_state_factor",="",="-53.13",="-106.9"
="",="",="(-0.83)",="(-1.87)"

="3.home_state_factor",="",="-53.53",="-108.0"
="",="",="(-0.82)",="(-1.87)"

="4.home_state_factor",="",="-74.00",="-130.6*"
="",="",="(-1.16)",="(-2.30)"

="5.home_state_factor",="",="-80.19",="-131.1*"
="",="",="(-1.26)",="(-2.31)"

="6.home_state_factor",="",="-33.84",="-94.77"
="",="",="(-0.53)",="(-1.67)"

="7.home_state_factor",="",="-88.03",="-139.4*"
="",="",="(-1.38)",="(-2.45)"

="8.home_state_factor",="",="-68.70",="-113.3"
="",="",="(-1.05)",="(-1.96)"

="9.home_state_factor",="",="-84.89",="-129.9*"
="",="",="(-1.28)",="(-2.20)"

="10.home_state_factor",="",="-76.25",="-127.3*"
="",="",="(-1.19)",="(-2.25)"

="11.home_state_factor",="",="-14.87",="-92.07"
="",="",="(-0.23)",="(-1.60)"

="12.home_state_factor",="",="-69.98",="-123.5*"
="",="",="(-1.10)",="(-2.18)"

="13.home_state_factor",="",="-35.94",="-105.2"
="",="",="(-0.56)",="(-1.85)"

="14.home_state_factor",="",="-30.74",="-95.52"
="",="",="(-0.47)",="(-1.66)"

="15.home_state_factor",="",="-18.25",="-78.91"
="",="",="(-0.28)",="(-1.37)"

="16.home_state_factor",="",="-80.76",="-132.6*"
="",="",="(-1.26)",="(-2.34)"

="17.home_state_factor",="",="-38.43",="-101.3"
="",="",="(-0.60)",="(-1.78)"

="18.home_state_factor",="",="-78.08",="-128.9*"
="",="",="(-1.22)",="(-2.27)"

="19.home_state_factor",="",="-45.98",="-102.5"
="",="",="(-0.71)",="(-1.79)"

="20.home_state_factor",="",="-68.00",="-119.5*"
="",="",="(-1.06)",="(-2.09)"

="21.home_state_factor",="",="-72.35",="-128.7*"
="",="",="(-1.13)",="(-2.26)"

="22.home_state_factor",="",="-90.37",="-140.0*"
="",="",="(-1.41)",="(-2.47)"

="23.home_state_factor",="",="-93.14",="-141.3*"
="",="",="(-1.40)",="(-2.39)"

="24.home_state_factor",="",="-61.54",="-117.5*"
="",="",="(-0.96)",="(-2.07)"

="25.home_state_factor",="",="-47.45",="-113.2*"
="",="",="(-0.74)",="(-1.99)"

="26.home_state_factor",="",="-61.78",="-116.5*"
="",="",="(-0.96)",="(-2.05)"

="27.home_state_factor",="",="-41.41",="-93.77"
="",="",="(-0.64)",="(-1.63)"

="28.home_state_factor",="",="23.74",="-50.59"
="",="",="(0.36)",="(-0.86)"

="29.home_state_factor",="",="-55.50",="-111.1"
="",="",="(-0.87)",="(-1.96)"

="30.home_state_factor",="",="-69.91",="-129.3*"
="",="",="(-1.07)",="(-2.23)"

="31.home_state_factor",="",="-62.23",="-117.1*"
="",="",="(-0.96)",="(-2.04)"

="32.home_state_factor",="",="-21.55",="-78.69"
="",="",="(-0.31)",="(-1.27)"

="33.home_state_factor",="",="-80.75",="-134.9*"
="",="",="(-1.26)",="(-2.38)"

="34.home_state_factor",="",="-71.28",="-129.2*"
="",="",="(-1.10)",="(-2.25)"

="35.home_state_factor",="",="-56.61",="-118.0*"
="",="",="(-0.88)",="(-2.08)"

="36.home_state_factor",="",="-103.1",="-152.0**"
="",="",="(-1.61)",="(-2.68)"

="37.home_state_factor",="",="-58.69",="-109.2"
="",="",="(-0.92)",="(-1.92)"

="38.home_state_factor",="",="-62.08",="-118.1*"
="",="",="(-0.97)",="(-2.07)"

="39.home_state_factor",="",="-41.61",="-108.8"
="",="",="(-0.65)",="(-1.91)"

="40.home_state_factor",="",="-62.67",="-119.8*"
="",="",="(-0.98)",="(-2.11)"

="41.home_state_factor",="",="-50.85",="-116.0*"
="",="",="(-0.77)",="(-1.97)"

="42.home_state_factor",="",="-61.74",="-117.3*"
="",="",="(-0.96)",="(-2.06)"

="43.home_state_factor",="",="-17.65",="-88.39"
="",="",="(-0.27)",="(-1.52)"

="44.home_state_factor",="",="-60.09",="-108.9"
="",="",="(-0.94)",="(-1.91)"

="45.home_state_factor",="",="-67.71",="-123.9*"
="",="",="(-1.06)",="(-2.19)"

="46.home_state_factor",="",="-40.26",="-108.0"
="",="",="(-0.63)",="(-1.90)"

="47.home_state_factor",="",="-38.15",="-102.4"
="",="",="(-0.60)",="(-1.80)"

="48.home_state_factor",="",="-65.75",="-123.8*"
="",="",="(-1.03)",="(-2.18)"

="49.home_state_factor",="",="60.25",="-9.258"
="",="",="(0.79)",="(-0.14)"

="50.home_state_factor",="",="-60.47",="-123.4*"
="",="",="(-0.95)",="(-2.17)"

="51.home_state_factor",="",="-69.02",="-123.4*"
="",="",="(-1.07)",="(-2.16)"

="52.home_state_factor",="",="-58.42",="-108.5"
="",="",="(-0.88)",="(-1.84)"

="53.home_state_factor",="",="-29.49",="-80.09"
="",="",="(-0.38)",="(-1.15)"

="2004.competition_year",="",="",="0"
="",="",="",="(.)"

="2005.competition_year",="",="",="94.22***"
="",="",="",="(29.32)"
